,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
5226,Arc the Lad: Twilight of the Spirits,PS2,2003.0,Role-Playing,Sony Computer Entertainment,0.18,0.14,0.0,0.05,0.36,72.0,39.0,8.2,33.0,Cattle Call,T
5230,Watch Dogs 2,XOne,2016.0,Action,Ubisoft,0.17,0.16,0.0,0.03,0.36,83.0,9.0,7.7,131.0,Ubisoft Montreal,M
5231,Tiger Woods PGA Tour 09,PSP,2008.0,Sports,Electronic Arts,0.07,0.18,0.0,0.1,0.36,53.0,4.0,5.5,6.0,Exient Entertainment,E
5234,Harry Potter and the Chamber of Secrets,XB,2002.0,Action,Electronic Arts,0.27,0.08,0.0,0.01,0.36,77.0,13.0,7.2,12.0,Eurocom Entertainment Software,E
5238,Arctic Thunder,PS2,2001.0,Racing,Midway Games,0.17,0.14,0.0,0.05,0.36,45.0,23.0,5.3,10.0,Inland Productions,T
5241,ESPN: Sports Connection,WiiU,2012.0,Sports,Ubisoft,0.2,0.12,0.0,0.03,0.36,31.0,13.0,2.7,18.0,Ubisoft,E
5244,Shrek,XB,2001.0,Platform,TDK Mediactive,0.25,0.1,0.0,0.01,0.36,49.0,19.0,5.4,9.0,Digital Illusions,T
5245,Dragon's Crown,PSV,2013.0,Role-Playing,Nippon Ichi Software,0.14,0.05,0.12,0.05,0.35,78.0,15.0,8.4,198.0,Vanillaware,T
5248,Wipeout 2048,PSV,2012.0,Racing,Sony Computer Entertainment,0.13,0.17,0.0,0.05,0.35,79.0,63.0,8.2,191.0,Studio Liverpool,E10+
5252,Trauma Center: Under the Knife,DS,2005.0,Simulation,Nintendo,0.3,0.01,0.02,0.03,0.35,81.0,45.0,8.7,45.0,ITL,T
5256,Earth Defense Force 2025,PS3,2013.0,Shooter,D3Publisher,0.04,0.02,0.27,0.01,0.35,69.0,28.0,7.5,52.0,Sandlot,M
5257,Middle-Earth: Shadow of Mordor,PC,2014.0,Action,Warner Bros. Interactive Entertainment,0.12,0.2,0.0,0.03,0.35,84.0,17.0,8,1671.0,Monolith Productions,M
5258,Suikoden V,PS2,2006.0,Role-Playing,Konami Digital Entertainment,0.08,0.06,0.19,0.02,0.35,76.0,43.0,7.6,109.0,Konami,T
5262,Tiger Woods PGA Tour 14,X360,2013.0,Sports,Electronic Arts,0.21,0.12,0.0,0.03,0.35,77.0,28.0,6.2,26.0,EA Tiburon,E
5267,LocoRoco 2,PSP,2008.0,Platform,Sony Computer Entertainment,0.21,0.09,0.01,0.04,0.35,85.0,55.0,8.4,44.0,SCE Japan Studio,E
5268,Football Manager Handheld 2010,PSP,2009.0,Sports,Sega,0.0,0.26,0.0,0.09,0.35,69.0,10.0,6.9,7.0,Sports Interactive,E
5270,Batman: Rise of Sin Tzu,PS2,2003.0,Action,Ubisoft,0.17,0.13,0.0,0.05,0.35,63.0,21.0,8.3,14.0,Ubisoft Montreal,T
5275,Worms: Open Warfare 2,DS,2007.0,Strategy,THQ,0.07,0.24,0.0,0.04,0.35,81.0,25.0,9.1,22.0,"Team 17, Two Tribes",E10+
5277,Dark Void,PS3,2010.0,Action,Capcom,0.18,0.12,0.0,0.05,0.35,59.0,50.0,6,36.0,Airtight Games,T
5278,Guitar Hero: Smash Hits,PS3,2009.0,Misc,Activision,0.2,0.11,0.0,0.05,0.35,73.0,34.0,7.2,9.0,Beenox,T
5281,NHL 2K10,Wii,2009.0,Sports,Take-Two Interactive,0.32,0.01,0.0,0.03,0.35,79.0,8.0,6.8,16.0,Take-Two Interactive,E10+
5282,Bloody Roar 3,PS2,2001.0,Fighting,Virgin Interactive,0.15,0.11,0.05,0.04,0.35,71.0,20.0,8.6,34.0,Eighting/Raizing,T
5283,WWE Crush Hour,PS2,2003.0,Racing,THQ,0.17,0.13,0.0,0.04,0.35,56.0,13.0,5.3,8.0,Pacific Coast Power & Light,T
5284,Persona 2: Eternal Punishment,PS,2000.0,Role-Playing,Atlus,0.03,0.02,0.28,0.02,0.35,83.0,11.0,8.4,25.0,Atlus Co.,T
5285,Homefront: The Revolution,PS4,2016.0,Shooter,Deep Silver,0.06,0.21,0.03,0.05,0.35,48.0,43.0,3.8,212.0,Deep Silver Dambuster Studios,M
5286,Assassin's Creed III,WiiU,2012.0,Action,Ubisoft,0.19,0.13,0.0,0.03,0.35,85.0,26.0,7.1,216.0,Ubisoft Quebec,M
5287,One Piece: Burning Blood,PS4,2016.0,Fighting,Namco Bandai Games,0.11,0.13,0.07,0.05,0.35,66.0,45.0,7.8,49.0,Spike Chunsoft,T
5288,Star Wars: Flight of the Falcon,GBA,2003.0,Action,THQ,0.25,0.09,0.0,0.01,0.35,39.0,13.0,5.8,11.0,Pocket Studios,E
5290,Teenage Mutant Ninja Turtles: Smash-Up,Wii,2009.0,Fighting,Ubisoft,0.33,0.0,0.0,0.03,0.35,67.0,34.0,8.2,21.0,Game Arts,E10+
5291,Toukiden: The Age of Demons,PSV,2013.0,Action,Tecmo Koei,0.04,0.04,0.25,0.02,0.35,71.0,44.0,8,136.0,Omega Force,T
